"research_date","retailer","product","product_type","motor_configuration","seller_location","source_class","listed_price_aud","gst_and_duties_treatment","delivery_treatment","estimated_delivered_price_aud","stock_status","warranty","returns","comparable_features","url","notes","source_quality"
"2026-08-13","Bushway","Cooler Cruiser","Floating cooler","Not applicable","Australia; ships from Sydney per source","Australian-stock online retailer","80.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Source claim: 14-day change-of-mind conditions apply","Source claims: floating insulated cooler","https://bushway.com.au/","Price captured from a current homepage result; dedicated URL unavailable","Low - current price-bearing homepage; product detail thin"
"2026-08-13","eMEGA","Inflatable Floating Drink Holder with Manual Pump","Floating drink tray","Not applicable","Australia","Australian online retailer","21.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: eight-holder food and drink tray; manual pump included","https://emega.com.au/shop/inflatable-floating-drink-holder-with-manual-air-pump-large-capacity-8-hole-pool-food-and-drink-tray-versatile-floating-tray-for-pools-hot-tubs-beach-and-spa/","Bundle inclusion reduces direct comparability","Moderate - live Australian retailer product page"
"2026-08-13","Waterjoy Collections","Rainbow Inflatable Floating Tray","Floating drink tray","Not applicable","Australia","Australian online retailer","29.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: floating serving tray","https://waterjoycollections.com/products/rainbow-inflatable-floating-tray-perfect-for-poolside-fun","Smaller retailer; performance claims not independently verified","Moderate - live Australian retailer product page"
"2026-08-13","BIG W","Rainbow Floating Drink Holder","Floating drink tray","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","31.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: multi-cup floating holder","https://www.bigw.com.au/product/floating-drink-holder-for-pool-tub-accessories-for-adults-pool-drink-holder-floats-swimming-pool-accessories-for-adults-pool-drink-floats/p/9901447735","Marketplace product and seller claims not independently verified","Moderate - live marketplace page"
"2026-08-13","Spa World","Inflatable Floating Spa Bar Tray","Floating drink tray","Not applicable","Australia","Australian specialist retailer","32.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: floating spa and pool serving tray","https://shop.spaworld.com.au/inflatable-floating-spa-bar-tray","Specialist-retail comparator","High - live Australian retailer product page"
"2026-08-13","Direct Pool Supplies","Life Spa Bar","Floating drink tray","Not applicable","Australia","Australian specialist retailer; unavailable; collection-page price","34.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Out of stock","","Retailer policy; product-specific terms not captured","Source claims: inflatable floating spa bar","https://www.directpoolsupplies.com.au/collections/spa-pool-bars","Unavailable listing retained","Moderate - current price-bearing collection page"
"2026-08-13","Direct Pool Supplies","Life Spa Tray Table","Floating drink tray","Not applicable","Australia","Australian specialist retailer; collection-page price","39.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not confirmed on collection page","","Retailer policy; product-specific terms not captured","Source claims: floating tray table","https://www.directpoolsupplies.com.au/collections/spa-pool-bars","Price captured from live collection results","Moderate - current price-bearing collection page"
"2026-08-13","Lily and Lane","Inflatable Floating Bar Pool Tray","Floating drink tray","Not applicable","Australia","Australian online retailer; unavailable","45.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Sold out","","Retailer policy; product-specific terms not captured","Source claims: floating bar and serving tray","https://lilyandlane.com/products/inflatable-floating-bar-pool-tray","Sold-out qualifier retained","Moderate - live Australian retailer product page"
"2026-08-13","Aust Pools","Life Deluxe Inflatable Spa Bar Tray","Floating drink tray","Not applicable","Australia","Australian specialist retailer","49.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: deluxe floating drink tray","https://www.austpools.com.au/product-page/spa-bar-life-deluxe-inflatable","Specialist-retail comparator","High - live Australian retailer product page"
"2026-08-13","Mr Toys","Intex Quick-Fill USB200R Rechargeable Air Pump","Rechargeable air pump","Pump motor; not a propulsion motor","Australia","Australian direct retailer","29.97","Source states tax is included","Calculated at checkout or store collection","","Online and in-store options shown","","Retailer policy; product-specific terms not captured","Source claims: USB-rechargeable portable inflator","https://www.mrtoys.com.au/outdoor-sports-water-toys/inflatable-pools-and-beach-toys/quickfill-tm-usb200r-rechargeable-air-pump-72822.html","Entry-price branded comparator","High - live Australian retailer product page"
"2026-08-13","BIG W","Rechargeable Electric Air Pump for Inflatables","Rechargeable air pump","Pump motor; not a propulsion motor","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","35.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: rechargeable inflator for pool products","https://www.bigw.com.au/product/electric-air-pump-for-inflatables-rechargeable/p/9900914910","Marketplace specification claims not independently verified","Moderate - live marketplace page"
"2026-08-13","Bunnings","OZtrail Rechargeable Li Hi-Flo Air Pump","Rechargeable air pump","Pump motor; not a propulsion motor","Australia","Australian direct retailer","39.97","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Add to cart","","Retailer policy; product-specific terms not captured","Source claims: rechargeable high-flow inflator","https://www.bunnings.com.au/oztrail-rechargeable-li-hi-flo-air-pump_p0920776","Mainstream branded comparator","High - live Australian retailer product page"
"2026-08-13","BIG W","Do U Play Rovers USB Rechargeable Air Pump","Rechargeable air pump","Pump motor; not a propulsion motor","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","50.16","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: lightweight USB-rechargeable inflator","https://www.bigw.com.au/product/do-u-play-rovers-inflatable-air-pump-lightweight-usb-rechargeable-black/p/9904257134","Marketplace listing","Moderate - live marketplace page"
"2026-08-13","OZtrail","Rechargeable Lithium Air Pump","Rechargeable air pump","Pump motor; not a propulsion motor","Australia","Australian brand direct retailer; sale","54.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","In stock","","Retailer policy; product-specific terms not captured","Source claims: rechargeable lithium inflator","https://www.oztrail.com.au/products/air-pump-rechargeable-lithium","Sale price retained","High - live Australian brand product page"
"2026-08-13","Memory Tech","20 W USB Rechargeable Inflator","Rechargeable air pump","Pump motor; not a propulsion motor","Australia","Australian online retailer; sale","57.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","In stock","","Retailer policy; product-specific terms not captured","Source claims: 20 W rechargeable inflator","https://www.memorytech.com.au/products/usb-rechargeable-inflator-electric-pump-20w-portable-bed-matress-pool-air-pump","Sale price retained; output claims not independently verified","Moderate - live Australian retailer product page"
"2026-08-13","Macpac","Coghlan's Rechargeable Air Pump","Rechargeable air pump","Pump motor; not a propulsion motor","Australia","Australian direct retailer","84.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Availability varies by location","","Retailer policy; product-specific terms not captured","Source claims: rechargeable portable inflator","https://www.macpac.com.au/coghlans-rechargeable-air-pump/123015-NON00-OS.html","Premium branded comparator","High - live Australian retailer product page"
"2026-08-13","BCF","Wanderer Double Action Air Pump","Double-action manual pump","Not applicable","Australia","Australian direct retailer; clearance","15.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Clearance; availability varies","","Clearance terms may apply","Source claims: double-action hand pump","https://www.bcf.com.au/p/wanderer-double-action-air-pump/326862.html","Clearance observation retained","High - live Australian retailer product page"
"2026-08-13","Albury RC Models","Rovin Double Action Air Pump","Double-action manual pump","Not applicable","Australia","Australian specialist retailer; category-page price","16.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not confirmed on category page","","Retailer policy; product-specific terms not captured","Source claims: double-action inflator for inflatables","https://www.alburyrcmodels.com.au/road-marine-tech/marine-general/boat-management/pumps-for-inflatables/","Price captured from category results","Moderate - current price-bearing category page"
"2026-08-13","Wildtrak","Double-Action Manual Air Pump","Double-action manual pump","Not applicable","Australia","Australian brand direct retailer; sale; collection-page price","20.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not confirmed on collection page","","Retailer policy; product-specific terms not captured","Source claims: double-action hand pump","https://www.wildtrak.com.au/collections/air-pumps","Sale price captured from collection results","Moderate - current price-bearing collection page"
"2026-08-13","Wynnum Marine","Airhead Double Action Pump","Double-action manual pump","Not applicable","Australia","Australian specialist retailer","24.91","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: double-action hand inflator","https://www.wynnummarine.com.au/products/airhead-double-action-pump","Marine specialist comparator","High - live Australian retailer product page"
"2026-08-13","Whitworths","WOW Double Action Hand Pump","Double-action manual pump","Not applicable","Australia","Australian specialist retailer","24.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: double-action hand pump","https://www.whitworths.com.au/wow-double-action-hand-pump","Marine specialist comparator","High - live Australian retailer product page"
"2026-08-13","BIG W","Bestway 48 cm Air Hammer Dual Action Pump","Double-action manual pump","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","29.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: dual-action hand inflator","https://www.bigw.com.au/product/bestway-48cm-air-hammer-dual-action-foot-pump/p/9902735578","Product title uses foot-pump wording while source claims dual action; verify configuration before comparison","Moderate - live marketplace page"
"2026-08-13","Whitworths","Double Action Inflator","Double-action manual pump","Not applicable","Australia","Australian specialist retailer; category-page price","29.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Availability not confirmed on category page","","Retailer policy; product-specific terms not captured","Source claims: double-action inflator","https://www.whitworths.com.au/water-activities/air-pumps/","Price captured from category results","Moderate - current price-bearing category page"
"2026-08-13","AustBoating","Double Action Air Pump","Double-action manual pump","Not applicable","Australia","Australian online retailer","37.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: double-action manual inflator","https://austboating.com.au/products/esync-products/pump-air-double-action-pump","Upper-end manual-pump comparator","High - live Australian retailer product page"
"2026-08-13","Marine Deals","PVC Inflatable Boat Repair Kit Grey","PVC repair kit","Not applicable","Australia","Australian specialist retailer","8.29","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","In stock","Source claim: 12-month warranty","Source claim: 30-day no-worries return conditions apply","Source claims: PVC patches and repair adhesive","https://www.marine-deals.com.au/inflatables/pvc-inflatable-boat-repair-kit-grey/p/229419/c/1336","Intended for PVC inflatables; adhesive and colour compatibility require checking","High - live Australian specialist product page"
"2026-08-13","Tentworld","Elemental Vinyl Repair Kit","PVC repair kit","Not applicable","Australia","Australian specialist retailer","11.49","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: vinyl repair patches and adhesive","https://www.tentworld.com.au/buy-sale/elemental-vinyl-repair-kit","Compatibility with Docked materials not independently verified","High - live Australian retailer product page"
"2026-08-13","Outback Equipment","Elemental Repair Kit for Vinyl","PVC repair kit","Not applicable","Australia","Australian specialist retailer","13.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","In stock","","Retailer policy; product-specific terms not captured","Source claims: repair kit for vinyl inflatables","https://www.outbackequipment.com.au/elemental-repair-kit-for-vinyl","Compatibility with Docked materials not independently verified","High - live Australian retailer product page"
"2026-08-13","Memory Tech","Inflatable Pool Puncture Patch and Glue Kit","PVC repair kit","Not applicable","Australia","Australian online retailer; sale","17.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","In stock","","Retailer policy; product-specific terms not captured","Source claims: stick-on patches and glue for inflatable pools","https://www.memorytech.com.au/products/puncture-patch-glue-repair-kit-stick-on-patch-inflatable-pool-10x-7cmx7cm","Compatibility and cure performance not independently verified","Moderate - live Australian retailer product page"
"2026-08-13","Big Duck","Repair Kit","PVC repair kit","Not applicable","Australia","Australian brand direct retailer","19.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability unclear: page presented conflicting sold-out and in-stock signals","","Retailer policy; product-specific terms not captured","Source claims: repair materials for brand inflatables","https://bigduck.com.au/products/repair-kit","Stock conflict retained; confirm before relying on the listing","Moderate - live page with conflicting availability"
"2026-08-13","Pools Foam Rubber","Liner Repair Kit","PVC repair kit","Not applicable","Australia","Australian specialist retailer","19.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","In stock","","Retailer policy; product-specific terms not captured","Source claims: wet-and-dry liner repair application","https://poolsfoamrubber.com.au/products/liner-repair-kit/","Pool-liner kit may not be equivalent to inflatable PVC repair","Moderate - live Australian retailer page; comparability limited"
"2026-08-13","Pump and Pool People","Swimming Pool Vinyl Wet and Dry Patch Repair Kit","PVC repair kit","Not applicable","Australia","Australian specialist retailer","34.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not independently confirmed","","Retailer policy; product-specific terms not captured","Source claims: wet-and-dry vinyl patch kit","https://www.pumpandpoolpeople.com.au/pool-supplies/pool-spa/accessories-pool-spa/swimming-pool-vinyl-kit-wet-and-dry-patch-inflatable-water-bed-repair-2/","Compatibility with Docked PVC formulation requires validation","High - live Australian specialist product page"
"2026-08-13","Surge Kayaks","Inflatable Repair Kit for SUP and Kayak","PVC repair kit","Not applicable","Australia","Australian specialist retailer; category-page price","37.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Availability not confirmed on category page","","Retailer policy; product-specific terms not captured","Source claims: repair kit for inflatable SUPs and kayaks","https://surgekayaks.com.au/product-category/repair-and-parts/","Price captured from category results; compatibility requires checking","Moderate - current price-bearing category page"
"2026-08-13","BCF","Volare Waterproof Dry Pouch Bag 1 L","Water-resistant storage pouch","Not applicable","Australia","Australian direct retailer; special offer","10.00","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Add to cart","","Retailer policy; product-specific terms not captured","Source claims: IP66, buoyant roll-top pouch; not for electronics or full submersion","https://www.bcf.com.au/p/volare-waterproof-dry-pouch-bag-1l/573717.html","Special offer from 14.99; limitations make it unsuitable for a phone-protection claim","High - live Australian retailer page with explicit limitations"
"2026-08-13","BCF","Bowline Waterproof Pouch Medium","Waterproof storage pouch","Not applicable","Australia","Australian direct retailer","13.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Add to cart","","Retailer policy; product-specific terms not captured","Source claims: roll-top pouch intended to keep small valuables dry, including when submerged","https://www.bcf.com.au/p/bowline-waterproof-pouch-medium/166165.html","No independent depth or duration test evidence captured","High - live Australian retailer product page"
"2026-08-13","Anaconda","Mirage Phone Pouch","Waterproof storage pouch","Not applicable","Australia","Australian direct retailer","14.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Add to cart","","Retailer policy; product-specific terms not captured","Source claims: IPX8 and tested waterproof to 10 metres; fits phones to 6.7 inches","https://www.anacondastores.com/en-au/p/mirage-phone-pouch/90197204","Performance is a source claim; no independent certificate reviewed","High - live Australian retailer page with specific rating claim"
"2026-08-13","BIG W","Mirage Waterproof and Shock-Absorbing Floating Phone Pouch","Waterproof storage pouch","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","15.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: IPX8, buoyant construction and fit to 6.9-inch phones","https://www.bigw.com.au/product/mirage-waterproof-and-shock-absorbing-floating-phone-pouch-black-/p/9902169599","Performance and seller claims not independently verified","Moderate - live marketplace page"
"2026-08-13","BIG W","Korjo Waterproof Phone Pouch","Waterproof storage pouch","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; online only","16.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: waterproof, dust-resistant, sand-resistant and buoyant phone pouch","https://www.bigw.com.au/product/korjo-waterproof-phone-pouch/p/9903544046","No independent IP rating or test evidence captured","Moderate - live marketplace page"
"2026-08-13","BCF","Mirage Clear-View Gear Dry Pouch","Water-resistant storage pouch","Not applicable","Australia","Australian direct retailer; special offer","17.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Add to cart","","Retailer policy; product-specific terms not captured","Source claims: water-resistant zipper and clear-window TPU pouch","https://www.bcf.com.au/p/mirage-clear-view-gear-dry-pouch/717515.html","Water-resistant is not equivalent to waterproof or submersible","High - live Australian retailer page with clear qualifier"
"2026-08-13","Anaconda","Mirage Floating Phone Pouch","Waterproof storage pouch","Not applicable","Australia","Australian direct retailer; member price","19.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Add to cart","","Retailer policy; product-specific terms not captured","Source claims: IPX8, buoyant core and fit to 6.9-inch phones","https://www.anacondastores.com/en-au/p/mirage-floating-phone-pouch/BP90254465-multicoloured","Club price retained; full price shown as 24.99; performance is a source claim","High - live Australian retailer page with member-price qualifier"
"2026-08-13","BIG W","Waterproof Phone Pouch Floating Dry Bag Blue","Waterproof storage pouch","Not applicable","Australia; Edragon Australia marketplace seller","Australian marketplace listing; online only","25.95","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: enlarged waterproof pouch with lanyard; fit to 8.5-inch devices","https://www.bigw.com.au/product/waterproof-phone-pouch-floating-phone-case-ipx8-water-proof-phone-dry-bag-blue/p/9900788654","Marketplace performance claim not independently verified","Moderate - live marketplace page"
"2026-08-13","Anaconda","Chums Glow Phone Pouch","Waterproof storage pouch","Not applicable","Australia","Australian direct retailer","29.99","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout or store collection","","Add to cart","","Retailer policy; product-specific terms not captured","Source claims: waterproof closure, touchscreen use and glow border","https://www.anacondastores.com/clothing/clothing-accessories/chums-glow-phone-pouch/BP90239482","No independent depth or duration test evidence captured","High - live Australian retailer product page"
"2026-08-13","BIG W","Case-Mate Large Waterproof Bow Mobile Phone Pouch","Waterproof storage pouch","Not applicable","Australia; marketplace seller location not independently verified","Australian marketplace listing; sale; online only","38.25","Displayed AUD price; GST inclusion not separately stated","Calculated at checkout","","Online only","","Marketplace seller terms apply","Source claims: floating waterproof pouch rated for 30 minutes at three feet","https://www.bigw.com.au/product/case-mate-large-waterproof-bow-mobile-phone-pouch-accessory-ballet-pink/p/9903000882","Sale price retained; source test claim not independently verified","Moderate - live marketplace page with specific but unverified claim"
